Seq_file	Frame_ID	Ref_ID	Pasa_filtro	Hay_segmento_de_subsecuencias_validas	longitud_minima_total_subseqs_superada	ratio_minimo_longitud_superado	Stop_codon_en_mitad_de_dos_segmentos_subsecuencias_validas	Vector_alineamiento
2	trinity_21.TRINITY_DN37_c0_g1_i5_Frame_F2	tr|A0A4V6MK93|A0A4V6MK93_DEISU	False	False	False	False	False	0*0000000000000000000*000000000100010001000000000001000*000000000000000000000000000000000000000000000000110000000000000000000*0000000000*000000000000000*1010000000000000000000100000000000100000000100000010*0*00*0000000000*0000010000*1011000000000000*11000000000000000000000000000000001000000*00010000000001000000*0*0*00000000000000000*0010000000000010000000000000000010000000000*00011*000000000*00100000000000000000*000*0100000001000000000000000000000000000*000*000
2	trinity_21.TRINITY_DN37_c0_g1_i5_Frame_F3	tr|A0A8T0FNQ2|A0A8T0FNQ2_ARGBR	True	True	True	True	False	0000*0000000000100010000000000000000000000000000001000101000111000000110000000110110000000011111000000000000101110101010101111100000000000011000000000001010000000011100000000111110100110000010000011111010010010100111101101100001110100000001010000000000000001111110001001111110110000101011010100110100110010100100110000*100000000*000000000***0000*00000
2	trinity_21.TRINITY_DN37_c0_g1_i5_Frame_F3	tr|A0A8X6M5X3|A0A8X6M5X3_TRICU	True	True	True	True	False	0000*0000000000000110000000000000000000000000000100000001100111100000000000000110110000000011111000001000000101100101000101111100000100000011010000000001000110011011100000001111110100110000000000001110000010011000111101010100001110100000000010000000000000000100111100100010011111101000001011011011100110110100010010101100000*000000000*000000000***0000*00000
2	trinity_21.TRINITY_DN37_c0_g1_i5_Frame_F3	tr|A0A8X6YL00|A0A8X6YL00_9ARAC	True	True	True	True	False	0000*0000000000000110000000000000000000000000000100000001100111100000000000000110110000000011111000001000000101100101000101111100000100000011010000000001000110011011100000001101110100110000000000001110000010011000111101010100001110100000000010000000000000000100111100100010011111101000001011011011100110110100010010101100000*000000000*000000000***0000*00000
2	trinity_21.TRINITY_DN37_c0_g1_i5_Frame_F3	tr|A0A8X6X380|A0A8X6X380_9ARAC	True	True	True	True	False	0000*0000000000000110000000000000000000000000000100000001100111100000000000000110110000000011111000001000000101100101000101111100000100000011010000000001000110011011100000001101110100110000000000001110000010011000111101010100001110100000000010000000000000000100111100100010011111101000001011011011100110110100010010101100000*000000000*000000000***0000*00000
2	trinity_21.TRINITY_DN37_c0_g1_i5_Frame_F3	tr|A0A8X6IDE3|A0A8X6IDE3_NEPPI	True	True	True	True	False	0000*0100100000000110000000000000000000000000000001000001100111100000000000000110110000000011111000000000000101100101010101111100000100000011010000000000000110011111000000001111110100110000000000001110000010011100111101010100001110100000000010000000000000000100111100100010011111101000001011011011100110000100010010101100000*000000000*000000000***0000*00000
2	trinity_21.TRINITY_DN37_c0_g1_i5_Frame_F3	tr|A0A4Q8KDK1|A0A4Q8KDK1_9ARAC	True	True	True	True	False	0000*00000000000001100000000000000000000000000000000000000000000000001001000001101100000000111110100000000001011101011101011111000000000010010111000000000000000101110000000011111000011110000000110101100000000011001111011101100001001000001010100000000000000000011110000001011111111100001011011010100110010100010110000111000*000000000*000000000***0000*00000
2	trinity_21.TRINITY_DN37_c0_g1_i5_Frame_F3	tr|A0A4Y2B683|A0A4Y2B683_ARAVE	True	True	True	True	False	0000*1000100000001110000000000000000000000000000000000001100111100000000000000110110000100011111000000000000101101101010101111100000000001001010000000001000110010011100000001111110100110000000000001110000010011100111101010110001110100000001010000000000000000100111100100010011111101000000011011011100110100100010010100100000*100000000*000000000***0000*00000
2	trinity_21.TRINITY_DN37_c0_g1_i5_Frame_R3	tr|A0A482Z9S3|A0A482Z9S3_9ARAC	False	False	False	False	False	00000*001001000000000000000000*0000000000000000001001000**00*01000000000000000000100000000000000100000000010001110000000010000*00000111010000000000*1*00000000000*0010100000000000000000010*001000000000000000000000*0000*0000000000000000000*000000000000000000000000000000000000000000000000000000000010000*0*000000**0000000000*0000000000000000000000*0*00000*000000000000000
2	trinity_21.TRINITY_DN37_c0_g1_i5_Frame_R3	tr|A0A4Q8K382|A0A4Q8K382_9ARAC	False	False	False	False	False	000000*000000000000000000001001*10000000000000000000000000000000000001000000000000000010**0000000000*0100000010000000000000000000010000000000000000010001000000000*000001110000000000010*1*00000000000*0000001010000000000000000*000010100000000000000000*0000*0000000000000000001*10110000000000000000000001000011000000000000010110000000000000000011000*0*000000**0010000000*000000011000000000000000000000000000*0*01001*000000000000100000000110000000000000
